,,,,,,
,Year,Democracy,Republican,Majority,,
,1983,269,165,Democrat,,
,1984,269,165,Democrat,,
,1985,253,181,Democrat,,
,1986,253,181,Democrat,,
,1987,258,177,Democrat,,
,1988,258,177,Democrat,,
,1989,260,175,Democrat,,
,1990,260,175,Democrat,,
,1991,267,167,Democrat,,
,1992,267,167,Democrat,,
,1993,258,176,Democrat,,
,1994,258,176,Democrat,,
,1995,204,230,Republican,,
,1996,204,230,Republican,,
,1997,206,227,Republican,,
,1998,206,227,Republican,,
,1999,211,223,Republican,,
,2000,211,223,Republican,,
,2001,212,221,Republican,,
,2002,212,221,Republican,,
,2003,205,229,Republican,,
,2004,205,229,Republican,,
,2005,202,232,Republican,,
,2006,202,232,Republican,,
,2007,233,202,Democrat,,
,2008,233,202,Democrat,,
,2009,257,178,Democrat,,
,2010,257,178,Democrat,,
,2011,193,242,Republican,,
,2012,193,242,Republican,,
,2013,201,234,Republican,,
,2014,201,234,Republican,,
,2015,188,247,Republican,,
,2016,188,247,Republican,,
,2017,194,241,Republican,,
,2018,194,241,Republican,,
,2019,235,200,Democrat,,
,2020,235,200,Democrat,,
,2021,222,213,Democrat,,
,2022,222,213,Democrat,,
,2023,213,221,Republican,,
,2024,213,221,Republican,,
